bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
17,1,0.20623582766439696,4,2,0.2653061224489796,4,19.63673469387755,4,54.0,0,2
17,3,0.18870748299319473,4,1,0.23265306122448978,4,19.918367346938776,4,55.0,0,1
17,4,0.18870748299319828,4,2,0.08163265306122448,4,20.193877551020407,4,57.0,0,2
18,1,0.2008276643990925,4,1,0.17551020408163265,4,20.31020408163265,4,59.0,0,1
18,2,0.2008276643990925,4,1,0.1673469387755102,4,20.512244897959185,4,60.0,0,1
18,3,0.19857142857143018,4,4,0.16326530612244897,4,20.693877551020407,4,62.0,0,1
18,3,0.19857142857143018,4,4,0.11836734693877551,4,20.881632653061224,4,64.0,0,4
18,4,0.19857142857143018,4,4,0.0653061224489796,4,21.081632653061224,4,65.0,0,4
19,1,0.2062925170068013,4,2,0.17346938775510204,4,21.175510204081633,4,66.0,0,2
19,2,0.2062925170068013,4,2,0.23265306122448978,4,21.43673469387755,4,62.0,0,2
19,4,0.19853741496598687,4,2,0.0836734693877551,4,21.718367346938777,4,59.0,0,1
19,4,0.19853741496598687,4,2,0.1306122448979592,4,21.822448979591837,4,58.0,0,2
20,1,0.19595238095238088,4,1,0.05102040816326531,4,21.97142857142857,4,59.0,0,1
20,2,0.19595238095238088,4,4,0.12653061224489795,4,22.275510204081634,4,62.0,0,4
20,4,0.19871882086167858,4,1,0.14081632653061224,4,22.491836734693877,4,66.0,0,1
21,1,0.21367346938775356,4,2,0.08163265306122448,4,22.693877551020407,4,67.0,0,1
21,1,0.21367346938775356,4,2,0.19183673469387755,4,22.812244897959182,4,68.0,0,2
21,2,0.2136734693877571,4,2,0.2530612244897959,4,23.036734693877552,4,64.0,0,2
21,4,0.2034126984126985,4,4,0.12448979591836734,4,23.33061224489796,4,61.0,0,1
21,4,0.2034126984126985,4,4,0.0836734693877551,4,23.485714285714284,4,60.0,0,4
22,1,0.20083900226757123,4,1,0.08163265306122448,4,23.583673469387755,4,61.0,0,1
22,2,0.20083900226757478,4,2,0.12653061224489795,4,23.8734693877551,4,64.0,0,2
22,3,0.18382086167800438,4,2,0.1346938775510204,4,24.06530612244898,4,67.0,0,2
23,1,0.196473922902495,4,2,0.09578231292517007,4,24.30548752834467,4,70.0,0,1
23,1,0.196473922902495,4,2,0.1510204081632653,4,24.40408163265306,4,71.0,0,2
23,2,0.196473922902495,4,2,0.14285714285714285,4,24.646938775510204,4,63.0,0,2
23,3,0.19367346938775398,4,2,0.04934240362811791,4,24.80471655328798,4,62.0,0,2
24,3,0.19640589569161193,4,3,0.1346938775510204,4,25.473469387755102,4,66.0,0,1
24,3,0.19640589569161193,4,3,0.04081632653061224,4,25.612244897959183,4,63.0,0,3
24,4,0.19640589569160838,4,2,0.08163265306122448,4,25.6734693877551,4,64.0,0,1
24,4,0.19640589569160838,4,2,0.08163265306122448,4,25.76734693877551,4,66.0,0,2
25,1,0.20625850340136154,4,2,0.07551020408163266,4,25.86530612244898,4,67.0,0,1
25,1,0.20625850340136154,4,2,0.09795918367346938,4,25.979591836734695,4,67.0,0,2
25,2,0.20625850340136154,4,2,0.08979591836734693,4,26.09387755102041,4,66.0,0,1
25,2,0.20625850340136154,4,2,0.05918367346938776,4,26.210204081632654,4,63.0,0,2
25,3,0.19800453514739402,4,4,0.1326530612244898,4,26.304081632653062,4,65.0,0,1
